28/4/2022|Doni|0000000000000000|0|||-1|-1||-1|-1|-1|-1|-1|1
8/4/2022|Sasa|1010101010101010|2|||-1|-1||-1|-1|-1|-1|-1|1
2/4/2022|Andi|2020202020202020|2|||-1|-1||-1|-1|-1|-1|-1|1
31/4/2022|Udin|2222222222222222|2|1, 1-1-1999|2|4|0|111111111111|23|0|2|1|3|1
9/4/2022|Malam|3030303030303030|2|||-1|-1||-1|-1|-1|-1|-1|1
31/4/2022|Haryo|3333333333333333|2|3, 3-2-1978|3|5|2|11111111111|44|1|0|0|0|1
11/4/2022|Pagi|4040404040404040|2|||-1|-1||-1|-1|-1|-1|-1|1
31/4/2022|Wulan|4444444444444444|2|4, 4-2-2012|3|9|4|222222222222|10|1|1|1|1|1
31/4/2022|Sore|5050505050505050|2|||-1|-1||-1|-1|-1|-1|-1|1
31/4/2022|Hanif|5555555555555555|2|5, 5-5-1965|5|3|2|22222222222|57|1|5|3|3|1
31/4/2022|Susi|6666666666666666|2|22222222222, 2-2-1988|222|7|2|2222222222|34|0|3|2|1|1
15/4/2022|Ani|7777777777777777|2|||-1|-1||-1|-1|-1|-1|-1|1
28/4/2022|Muhammad|8888888888888888|2|||-1|-1||-1|-1|-1|-1|-1|1
31/4/2022|Ali|9999999999999999|9|||-1|-1||-1|-1|-1|-1|-1|1
31/4/2022|Susanta|1111111111111111|1|12, 12-12-2012|1111|0|0|22222222222|10|0|1|0|1|1
